"ano","regiao","uf","municipio","gestao 1","gestao 2","gestao 3","gestao 4","gestao 5","gestao 6"
"2017","Norte","RO","1101005",0,66.7,0,33.3,0,0
"2017","Norte","RO","1101005",16.7,33.3,50,0,0,0
"2017","Norte","RO","1101104",42.9,42.9,0,0,14.2,0
"2017","Norte","RO","1101104",0,75,0,0,25,0
"2017","Norte","RO","1101104",100,0,0,0,0,0
"2017","Norte","RO","1101203",16.7,16.7,50,0,16.6,0
"2017","Norte","RO","1101203",33.3,33.3,0,0,33.4,0
"2017","Norte","RO","1101203",0,0,100,0,0,0
"2017","Norte","RO","1101302",16.7,33.3,50,0,0,0
"2017","Norte","RO","1101302",0,66.7,33.3,0,0,0
"2017","Norte","RO","1101302",33.3,0,66.7,0,0,0
"2017","Norte","RO","1101401",16.7,33.3,50,0,0,0
"2017","Norte","RO","1101401",50,50,0,0,0,0
"2017","Norte","RO","1101401",0,25,75,0,0,0
"2017","Norte","RO","1101435",0,0,100,0,0,0
"2017","Norte","RO","1101435",0,0,100,0,0,0
"2017","Norte","RO","1101435",0,0,100,0,0,0
"2017","Norte","RO","1101450",33.3,33.3,0,33.4,0,0
"2017","Norte","RO","1101450",0,0,0,100,0,0
"2017","Norte","RO","1101450",50,50,0,0,0,0
"2017","Norte","RO","1101468",0,100,0,0,0,0
"2017","Norte","RO","1101468",0,100,0,0,0,0
"2017","Norte","RO","1101476",66.7,0,33.3,0,0,0
"2017","Norte","RO","1101476",50,0,50,0,0,0
"2017","Norte","RO","1101476",100,0,0,0,0,0
"2017","Norte","RO","1101484",0,66.7,33.3,0,0,0
"2017","Norte","RO","1101484",0,66.7,33.3,0,0,0
"2017","Norte","RO","1101492",0,22.2,66.7,11.1,0,0
"2017","Norte","RO","1101492",0,50,50,0,0,0
"2017","Norte","RO","1101492",0,0,80,20,0,0
"2017","Norte","RO","1101500",0,0,100,0,0,0
"2017","Norte","RO","1101500",0,0,100,0,0,0
"2017","Norte","RO","1101500",0,0,100,0,0,0
"2017","Norte","RO","1101559",25,25,50,0,0,0
"2017","Norte","RO","1101559",0,50,50,0,0,0
"2017","Norte","RO","1101559",50,0,50,0,0,0
"2017","Norte","RO","1101609",0,37.5,62.5,0,0,0
"2017","Norte","RO","1101609",0,50,50,0,0,0
"2017","Norte","RO","1101609",0,33.3,66.7,0,0,0
"2017","Norte","RO","1101708",0,25,75,0,0,0
"2017","Norte","RO","1101708",0,66.7,33.3,0,0,0
"2017","Norte","RO","1101708",0,0,100,0,0,0
"2017","Norte","RO","1101757",50,37.5,0,0,12.5,0
"2017","Norte","RO","1101757",0,50,0,0,50,0
"2017","Norte","RO","1101757",66.7,33.3,0,0,0,0
"2017","Norte","RO","1101807",20,40,20,0,20,0
"2017","Norte","RO","1101807",0,66.7,0,0,33.3,0
"2017","Norte","RO","1101807",50,0,50,0,0,0
"2017","Norte","AC","1200013",33.3,33.3,0,11.1,22.3,0
"2017","Norte","AC","1200013",0,33.3,0,0,66.7,0
"2017","Norte","AC","1200013",50,33.3,0,16.7,0,0
"2017","Norte","AC","1200054",73,5.4,10.8,10.8,0,0
"2017","Norte","AC","1200054",0,25,0,75,0,0
"2017","Norte","AC","1200054",81.8,3,12.1,3.1,0,0
"2017","Norte","AC","1200104",77.4,13.2,1.9,3.8,3.7,0
"2017","Norte","AC","1200104",14.3,71.4,0,0,14.3,0
"2017","Norte","AC","1200104",87,4.3,2.2,4.3,2.2,0
"2017","Norte","AC","1200138",73.3,20,6.7,0,0,0
"2017","Norte","AC","1200138",0,100,0,0,0,0
"2017","Norte","AC","1200138",91.7,0,8.3,0,0,0
"2017","Norte","AC","1200179",28.6,21.4,7.1,28.6,14.3,0
"2017","Norte","AC","1200179",0,66.7,0,0,33.3,0
"2017","Norte","AC","1200179",36.4,9.1,9.1,36.4,9,0
"2017","Norte","AC","1200203",29,43.9,23.4,0.9,2.8,0
"2017","Norte","AC","1200203",6.1,72.7,15.2,3,3,0
"2017","Norte","AC","1200203",39.2,31.1,27,0,2.7,0
"2017","Norte","AC","1200252",50,50,0,0,0,0
"2017","Norte","AC","1200252",12.5,87.5,0,0,0,0
"2017","Norte","AC","1200252",80,20,0,0,0,0
"2017","Norte","AC","1200302",58.7,3.3,31.5,0,6.5,0
"2017","Norte","AC","1200302",16.7,50,0,0,33.3,0
"2017","Norte","AC","1200302",61.6,0,33.7,0,4.7,0
"2017","Norte","AC","1200328",7.7,15.4,75.4,1.5,0,0
"2017","Norte","AC","1200328",0,66.7,33.3,0,0,0
"2017","Norte","AC","1200328",8.1,12.9,77.4,1.6,0,0
"2017","Norte","AC","1200336",38.9,33.3,11.1,11.1,5.6,0
"2017","Norte","AC","1200336",16.7,75,0,0,8.3,0
"2017","Norte","AC","1200336",50,12.5,16.7,16.7,4.1,0
"2017","Norte","AC","1200344",42.3,38.5,19.2,0,0,0
"2017","Norte","AC","1200344",0,80,20,0,0,0
"2017","Norte","AC","1200344",52.4,28.6,19,0,0,0
"2017","Norte","AC","1200351",35.3,16.2,30.9,14.7,2.9,0
"2017","Norte","AC","1200351",0,83.3,0,0,16.7,0
"2017","Norte","AC","1200351",38.7,9.7,33.9,16.1,1.6,0
"2017","Norte","AC","1200385",6.7,26.7,20,13.3,33.3,0
"2017","Norte","AC","1200385",0,50,16.7,33.3,0,0
"2017","Norte","AC","1200385",11.1,11.1,22.2,0,55.6,0
"2017","Norte","AC","1200393",22.2,19.4,22.2,8.3,27.9,0
"2017","Norte","AC","1200393",0,50,0,0,50,0
"2017","Norte","AC","1200393",23.5,17.6,23.5,8.8,26.6,0
"2017","Norte","AC","1200401",13.3,69.9,2.4,1.2,13.2,0
"2017","Norte","AC","1200401",7.4,77.9,2.9,1.5,10.3,0
"2017","Norte","AC","1200401",40,33.3,0,0,26.7,0
"2017","Norte","AC","1200427",37.3,29.4,0,15.7,17.6,0
"2017","Norte","AC","1200427",0,50,0,33.3,16.7,0
"2017","Norte","AC","1200427",42.2,26.7,0,13.3,17.8,0
"2017","Norte","AC","1200435",16.7,4.2,77.1,0,2,0
"2017","Norte","AC","1200435",0,66.7,0,0,33.3,0
"2017","Norte","AC","1200435",17.8,0,82.2,0,0,0
"2017","Norte","AC","1200450",15.4,69.2,0,7.7,7.7,0
"2017","Norte","AC","1200450",0,77.8,0,11.1,11.1,0
"2017","Norte","AC","1200450",50,50,0,0,0,0
"2017","Norte","AC","1200500",60,22.5,16.3,0,1.2,0
"2017","Norte","AC","1200500",6.7,80,6.7,0,6.6,0
"2017","Norte","AC","1200500",72.3,9.2,18.5,0,0,0
"2017","Norte","AC","1200609",34.8,13,10.9,6.5,32.6,2.2
"2017","Norte","AC","1200609",12.5,25,0,0,50,12.5
"2017","Norte","AC","1200609",39.5,10.5,13.2,7.9,28.9,0
"2017","Norte","AC","1200708",80,8,12,0,0,0
"2017","Norte","AC","1200708",71.4,28.6,0,0,0,0
"2017","Norte","AC","1200708",83.3,0,16.7,0,0,0
"2017","Norte","AC","1200807",31.6,63.2,5.2,0,0,0
"2017","Norte","AC","1200807",0,100,0,0,0,0
"2017","Norte","AC","1200807",35.3,58.8,5.9,0,0,0
"2017","Norte","AM","1300029",32.1,5.7,9.4,26.4,24.5,1.9
"2017","Norte","AM","1300029",0,66.7,0,0,33.3,0
"2017","Norte","AM","1300029",34,2,10,28,24,2
"2017","Norte","AM","1300060",26.1,30.4,34.8,0,8.7,0
"2017","Norte","AM","1300060",0,66.7,33.3,0,0,0
"2017","Norte","AM","1300060",30,25,35,0,10,0
"2017","Norte","AM","1300086",25,50,25,0,0,0
"2017","Norte","AM","1300086",0,66.7,33.3,0,0,0
"2017","Norte","AM","1300086",28.6,47.6,23.8,0,0,0
"2017","Norte","AM","1300102",50,5,40,0,5,0
"2017","Norte","AM","1300102",0,33.3,33.3,0,33.4,0
"2017","Norte","AM","1300102",58.8,0,41.2,0,0,0
"2017","Norte","AM","1300144",46.2,38.5,7.7,0,7.6,0
"2017","Norte","AM","1300144",0,66.7,0,0,33.3,0
"2017","Norte","AM","1300144",60,30,10,0,0,0
"2017","Norte","AM","1300201",10.2,5.1,16.9,42.4,25.4,0
"2017","Norte","AM","1300201",0,0,50,0,50,0
"2017","Norte","AM","1300201",10.5,5.3,15.8,43.9,24.5,0
"2017","Norte","AM","1300300",15.2,41.3,19.6,6.5,10.9,6.5
"2017","Norte","AM","1300300",0,66.7,33.3,0,0,0
"2017","Norte","AM","1300300",16.3,39.5,18.6,7,11.6,7
"2017","Norte","AM","1300409",51,22.4,18.4,4.1,4.1,0
"2017","Norte","AM","1300409",0,66.7,16.7,16.6,0,0
"2017","Norte","AM","1300409",58.1,16.3,18.6,2.3,4.7,0
"2017","Norte","AM","1300508",31.2,10.8,18.3,11.8,25.8,2.1
"2017","Norte","AM","1300508",0,33.3,33.3,0,33.4,0
"2017","Norte","AM","1300508",32.2,10,17.8,12.2,25.6,2.2
"2017","Norte","AM","1300607",33.3,24.6,29.8,0,10.5,1.8
"2017","Norte","AM","1300607",0,28.6,42.9,0,28.5,0
"2017","Norte","AM","1300607",38,24,28,0,8,2
"2017","Norte","AM","1300631",26.8,9.9,31,15.5,15.5,1.3
"2017","Norte","AM","1300631",0,0,33.3,0,33.3,33.4
"2017","Norte","AM","1300631",27.9,10.3,30.9,16.2,14.7,0
