"ano","regiao","uf","municipio","gestao 1","gestao 2","gestao 3","gestao 4","gestao 5","gestao 6"
"2015","Norte","RO","1100015",45,40,15,0,0,0
"2015","Norte","RO","1100015",20,60,20,0,0,0
"2015","Norte","RO","1100015",53.3,33.3,13.4,0,0,0
"2015","Norte","RO","1100023",3.8,26.9,42.3,7.7,7.7,11.6
"2015","Norte","RO","1100023",5.3,36.8,31.6,10.5,10.5,5.3
"2015","Norte","RO","1100023",0,0,71.4,0,0,28.6
"2015","Norte","RO","1100031",75,0,25,0,0,0
"2015","Norte","RO","1100031",75,0,25,0,0,0
"2015","Norte","RO","1100049",0,66.7,33.3,0,0,0
"2015","Norte","RO","1100049",0,78.6,21.4,0,0,0
"2015","Norte","RO","1100049",0,50,50,0,0,0
"2015","Norte","RO","1100056",12.5,62.5,25,0,0,0
"2015","Norte","RO","1100056",16.7,50,33.3,0,0,0
"2015","Norte","RO","1100056",0,100,0,0,0,0
"2015","Norte","RO","1100064",0,85.7,14.3,0,0,0
"2015","Norte","RO","1100064",0,50,50,0,0,0
"2015","Norte","RO","1100064",0,100,0,0,0,0
"2015","Norte","RO","1100072",0,40,60,0,0,0
"2015","Norte","RO","1100072",0,50,50,0,0,0
"2015","Norte","RO","1100072",0,33.3,66.7,0,0,0
"2015","Norte","RO","1100080",22.2,66.7,11.1,0,0,0
"2015","Norte","RO","1100080",20,80,0,0,0,0
"2015","Norte","RO","1100080",25,50,25,0,0,0
"2015","Norte","RO","1100098",18.2,27.3,54.5,0,0,0
"2015","Norte","RO","1100098",0,40,60,0,0,0
"2015","Norte","RO","1100098",33.3,16.7,50,0,0,0
"2015","Norte","RO","1100106",45,15,30,0,10,0
"2015","Norte","RO","1100106",10,10,60,0,20,0
"2015","Norte","RO","1100106",80,20,0,0,0,0
"2015","Norte","RO","1100114",0,40,35,5,20,0
"2015","Norte","RO","1100114",0,58.3,16.7,0,25,0
"2015","Norte","RO","1100114",0,12.5,62.5,12.5,12.5,0
"2015","Norte","RO","1100122",3.6,53.6,32.1,0,10.7,0
"2015","Norte","RO","1100122",5.6,72.2,5.6,0,16.6,0
"2015","Norte","RO","1100122",0,20,80,0,0,0
"2015","Norte","RO","1100130",40,16,36,4,4,0
"2015","Norte","RO","1100130",0,40,60,0,0,0
"2015","Norte","RO","1100130",50,10,30,5,5,0
"2015","Norte","RO","1100148",22.2,33.3,44.5,0,0,0
"2015","Norte","RO","1100148",0,75,25,0,0,0
"2015","Norte","RO","1100148",40,0,60,0,0,0
"2015","Norte","RO","1100155",0,53.8,30.8,0,15.4,0
"2015","Norte","RO","1100155",0,70,10,0,20,0
"2015","Norte","RO","1100155",0,0,100,0,0,0
"2015","Norte","RO","1100189",25,43.8,18.8,0,12.4,0
"2015","Norte","RO","1100189",0,62.5,25,0,12.5,0
"2015","Norte","RO","1100189",50,25,12.5,0,12.5,0
"2015","Norte","RO","1100205",23.5,32.6,19.7,4.5,15.9,3.8
"2015","Norte","RO","1100205",0,46.5,26.8,2.8,19.7,4.2
"2015","Norte","RO","1100205",50.8,16.4,11.5,6.6,11.5,3.2
"2015","Norte","RO","1100254",11.1,33.3,55.6,0,0,0
"2015","Norte","RO","1100254",0,66.7,33.3,0,0,0
"2015","Norte","RO","1100254",16.7,16.7,66.6,0,0,0
"2015","Norte","RO","1100262",0,50,50,0,0,0
"2015","Norte","RO","1100262",0,50,50,0,0,0
"2015","Norte","RO","1100288",0,44.4,44.4,0,11.2,0
"2015","Norte","RO","1100288",0,57.1,28.6,0,14.3,0
"2015","Norte","RO","1100288",0,0,100,0,0,0
"2015","Norte","RO","1100296",40,60,0,0,0,0
"2015","Norte","RO","1100296",33.3,66.7,0,0,0,0
"2015","Norte","RO","1100296",50,50,0,0,0,0
"2015","Norte","RO","1100304",4,60,16,0,20,0
"2015","Norte","RO","1100304",0,60,20,0,20,0
"2015","Norte","RO","1100304",20,60,0,0,20,0
"2015","Norte","RO","1100320",7.7,7.7,76.9,0,7.7,0
"2015","Norte","RO","1100320",0,33.3,33.3,0,33.4,0
"2015","Norte","RO","1100320",10,0,90,0,0,0
"2015","Norte","RO","1100338",71.9,19.3,5.3,0,1.8,1.7
"2015","Norte","RO","1100338",20,60,0,0,20,0
"2015","Norte","RO","1100338",76.9,15.4,5.8,0,0,1.9
"2015","Norte","RO","1100346",27.3,27.3,45.4,0,0,0
"2015","Norte","RO","1100346",42.9,14.3,42.8,0,0,0
"2015","Norte","RO","1100346",0,50,50,0,0,0
"2015","Norte","RO","1100379",0,25,75,0,0,0
"2015","Norte","RO","1100379",0,66.7,33.3,0,0,0
"2015","Norte","RO","1100379",0,0,100,0,0,0
"2015","Norte","RO","1100403",28.6,7.1,57.1,0,0,7.2
"2015","Norte","RO","1100403",0,33.3,33.3,0,0,33.4
"2015","Norte","RO","1100403",36.4,0,63.6,0,0,0
"2015","Norte","RO","1100452",65.5,6.9,24.1,0,0,3.5
"2015","Norte","RO","1100452",0,40,40,0,0,20
"2015","Norte","RO","1100452",79.2,0,20.8,0,0,0
"2015","Norte","RO","1100502",33.3,50,16.7,0,0,0
"2015","Norte","RO","1100502",20,60,20,0,0,0
"2015","Norte","RO","1100502",100,0,0,0,0,0
"2015","Norte","RO","1100601",0,50,0,25,25,0
"2015","Norte","RO","1100601",0,50,0,0,50,0
"2015","Norte","RO","1100601",0,50,0,50,0,0
"2015","Norte","RO","1100700",0,42.9,42.9,0,14.2,0
"2015","Norte","RO","1100700",0,50,0,0,50,0
"2015","Norte","RO","1100700",0,40,60,0,0,0
"2015","Norte","RO","1100809",7.1,71.4,7.1,0,7.1,7.3
"2015","Norte","RO","1100809",0,87.5,0,0,0,12.5
"2015","Norte","RO","1100809",16.7,50,16.7,0,16.6,0
"2015","Norte","RO","1100908",33.3,33.3,33.4,0,0,0
