"ano","regiao","uf","municipio","salario_medio","salario_medio_pad"
"2015","Norte","RO","1100015",1767.135,2396.741
"2015","Norte","RO","1100015",1826.695,2492.069
"2015","Norte","RO","1100015",1483.462,1957.57
"2015","Norte","RO","1100023",2833.494,2807.496
"2015","Norte","RO","1100023",2868.629,2842.604
"2015","Norte","RO","1100023",2624.541,2598.863
"2015","Norte","RO","1100031",1915.729,2122.368
"2015","Norte","RO","1100031",2034.429,2252.871
"2015","Norte","RO","1100031",1134.29,1260.322
"2015","Norte","RO","1100049",2843.104,2935.848
"2015","Norte","RO","1100049",2822.651,2938.43
"2015","Norte","RO","1100049",2925.818,2925.818
"2015","Norte","RO","1100056",2118.71,2195.007
"2015","Norte","RO","1100056",2152.464,2242.389
"2015","Norte","RO","1100056",1899.14,1899.14
"2015","Norte","RO","1100064",3113.651,2848.123
"2015","Norte","RO","1100064",3130.261,2864.453
"2015","Norte","RO","1100064",2854.428,2594.935
"2015","Norte","RO","1100072",2474.971,2273.881
"2015","Norte","RO","1100072",2496.28,2298.871
"2015","Norte","RO","1100072",2378.797,2162.543
"2015","Norte","RO","1100080",2532.731,2582.496
"2015","Norte","RO","1100080",2558.441,2643.327
"2015","Norte","RO","1100080",2494.154,2494.154
"2015","Norte","RO","1100098",2713.322,3691.498
"2015","Norte","RO","1100098",2730.44,3712.132
"2015","Norte","RO","1100098",2183.53,3037.955
"2015","Norte","RO","1100106",2831.601,3077.149
"2015","Norte","RO","1100106",2866.856,3093.162
"2015","Norte","RO","1100106",2640.136,2985.987
"2015","Norte","RO","1100114",1658.47,2504.864
"2015","Norte","RO","1100114",1783.721,2810.3
"2015","Norte","RO","1100114",1289.288,1735.626
"2015","Norte","RO","1100122",2498.244,3000.128
"2015","Norte","RO","1100122",2558.263,3086.979
"2015","Norte","RO","1100122",1991.178,2298.26
"2015","Norte","RO","1100130",2073.72,2445.589
"2015","Norte","RO","1100130",2115.357,2491.589
"2015","Norte","RO","1100130",1872.064,2221.167
"2015","Norte","RO","1100148",2287.307,2951.319
"2015","Norte","RO","1100148",2278.826,2939.37
"2015","Norte","RO","1100148",2344.846,3032.595
"2015","Norte","RO","1100155",2456.461,3190.716
"2015","Norte","RO","1100155",2461.094,3204.275
"2015","Norte","RO","1100155",2347.434,2889.15
"2015","Norte","RO","1100189",1937.948,2697.154
"2015","Norte","RO","1100189",1987.897,2798.316
"2015","Norte","RO","1100189",1784.929,2401.005
"2015","Norte","RO","1100205",2645.928,3789.878
"2015","Norte","RO","1100205",2645.784,3814.793
"2015","Norte","RO","1100205",2647.401,3552.521
"2015","Norte","RO","1100254",2005.297,2324.031
"2015","Norte","RO","1100254",2027.252,2406.086
"2015","Norte","RO","1100254",1869.602,1891.684
"2015","Norte","RO","1100262",1657.99,2704.294
"2015","Norte","RO","1100262",1644.661,2656.76
"2015","Norte","RO","1100262",1680.204,2785.602
"2015","Norte","RO","1100288",2396.01,2950.065
"2015","Norte","RO","1100288",2416.877,2972.587
"2015","Norte","RO","1100288",1857.479,2351.73
"2015","Norte","RO","1100296",1862.899,1862.899
"2015","Norte","RO","1100296",1875.666,1875.666
"2015","Norte","RO","1100296",NA,NA
"2015","Norte","RO","1100304",2637.947,3012.878
"2015","Norte","RO","1100304",2640.932,3014.841
"2015","Norte","RO","1100304",2579.868,2974.313
"2015","Norte","RO","1100320",2267.482,2380.515
"2015","Norte","RO","1100320",2254.528,2364.602
"2015","Norte","RO","1100320",2476.188,2641.267
"2015","Norte","RO","1100338",1531.227,1969.804
"2015","Norte","RO","1100338",1833.3,2593.83
"2015","Norte","RO","1100338",1036.163,1160.335
"2015","Norte","RO","1100346",1602.336,2114.172
"2015","Norte","RO","1100346",1639.834,2155.509
"2015","Norte","RO","1100346",1309.371,1780.134
"2015","Norte","RO","1100379",1893.759,2503.105
"2015","Norte","RO","1100379",1903.3,2502.158
"2015","Norte","RO","1100379",NA,NA
"2015","Norte","RO","1100403",2157.591,2747.186
"2015","Norte","RO","1100403",2187.357,2741.722
