"ano","regiao","uf","municipio","salario_medio","salario_medio_pad"
"2017","Norte","RO","1101203",2882.77,3200.764
"2017","Norte","RO","1101203",NA,NA
"2017","Norte","RO","1101302",2160.999,2816.926
"2017","Norte","RO","1101302",2176.764,2852.711
"2017","Norte","RO","1101302",2042.907,2560.551
"2017","Norte","RO","1101401",1713.187,1916.265
"2017","Norte","RO","1101401",1817.238,2116.153
"2017","Norte","RO","1101401",1542.99,1621.248
"2017","Norte","RO","1101435",2761.957,3521.322
"2017","Norte","RO","1101435",2790.313,3550.692
"2017","Norte","RO","1101435",NA,NA
"2017","Norte","RO","1101450",2283.751,2971.356
"2017","Norte","RO","1101450",2339.809,3030.697
"2017","Norte","RO","1101450",NA,NA
"2017","Norte","RO","1101468",2971.313,3038.843
"2017","Norte","RO","1101468",2971.313,3038.843
"2017","Norte","RO","1101476",2278.828,3044.963
"2017","Norte","RO","1101476",2310.944,3081.259
"2017","Norte","RO","1101476",2059.565,2792.941
"2017","Norte","RO","1101484",2852.501,3141.885
"2017","Norte","RO","1101484",2844.404,3141.58
"2017","Norte","RO","1101484",NA,NA
"2017","Norte","RO","1101492",2245.565,2709.372
"2017","Norte","RO","1101492",2253.22,2707.607
"2017","Norte","RO","1101492",NA,NA
"2017","Norte","RO","1101500",2886.522,3500.486
"2017","Norte","RO","1101500",2867.945,3479.523
"2017","Norte","RO","1101500",NA,NA
"2017","Norte","RO","1101559",2357.136,3412.012
"2017","Norte","RO","1101559",2397.378,3484.242
"2017","Norte","RO","1101559",NA,NA
"2017","Norte","RO","1101609",2455.983,2801.221
"2017","Norte","RO","1101609",2456.36,2805.808
"2017","Norte","RO","1101609",NA,NA
"2017","Norte","RO","1101708",2523.341,2730.422
"2017","Norte","RO","1101708",2645.43,2907.615
"2017","Norte","RO","1101708",1877.164,1877.164
"2017","Norte","RO","1101757",2769.283,3793.023
"2017","Norte","RO","1101757",2720.682,3712.677
"2017","Norte","RO","1101757",3350.451,4802.151
"2017","Norte","RO","1101807",1878.754,3163.403
"2017","Norte","RO","1101807",1869.416,3170.466
"2017","Norte","RO","1101807",NA,NA
"2017","Norte","AC","1200013",2797.9,2633.887
"2017","Norte","AC","1200013",2790.208,2626.274
"2017","Norte","AC","1200013",NA,NA
"2017","Norte","AC","1200054",1626.157,1998.334
"2017","Norte","AC","1200054",2521.763,2869.267
"2017","Norte","AC","1200054",1119.689,1441.181
"2017","Norte","AC","1200104",1576.483,1433.166
"2017","Norte","AC","1200104",1808.204,1643.822
"2017","Norte","AC","1200104",1223.13,1111.936
"2017","Norte","AC","1200138",NA,NA
"2017","Norte","AC","1200138",NA,NA
"2017","Norte","AC","1200138",NA,NA
"2017","Norte","AC","1200179",NA,NA
"2017","Norte","AC","1200179",2515.011,2472.307
"2017","Norte","AC","1200179",NA,NA
"2017","Norte","AC","1200203",1558.426,1751.571
"2017","Norte","AC","1200203",1602.113,1689.831
"2017","Norte","AC","1200203",1497.484,1852.591
"2017","Norte","AC","1200252",1823.802,2901.502
"2017","Norte","AC","1200252",1848.975,2938.16
"2017","Norte","AC","1200252",1699.872,2719.794
"2017","Norte","AC","1200302",1717.166,2075.656
"2017","Norte","AC","1200302",2048.156,2275.679
"2017","Norte","AC","1200302",1290.547,1759.334
"2017","Norte","AC","1200328",NA,NA
"2017","Norte","AC","1200328",2114.964,1922.695
"2017","Norte","AC","1200328",NA,NA
"2017","Norte","AC","1200336",1622.736,2249.783
"2017","Norte","AC","1200336",1780.062,2656.127
"2017","Norte","AC","1200336",1371.467,1708.102
"2017","Norte","AC","1200344",2390.303,3750.234
"2017","Norte","AC","1200344",2603.799,4166.079
"2017","Norte","AC","1200344",1811.577,2700.145
"2017","Norte","AC","1200351",1715.438,1563.428
"2017","Norte","AC","1200351",2358.446,2152.543
"2017","Norte","AC","1200351",1362.144,1240.463
"2017","Norte","AC","1200385",NA,NA
"2017","Norte","AC","1200385",2227.55,2042.655
"2017","Norte","AC","1200385",NA,NA
"2017","Norte","AC","1200393",1493.265,1357.514
"2017","Norte","AC","1200393",1848.372,1680.338
"2017","Norte","AC","1200393",1388.586,1262.351
"2017","Norte","AC","1200401",2693.167,3706.53
"2017","Norte","AC","1200401",2703.692,3713.592
"2017","Norte","AC","1200401",2510.614,3579.394
"2017","Norte","AC","1200427",1724.644,1567.858
"2017","Norte","AC","1200427",1958.707,1780.642
"2017","Norte","AC","1200427",NA,NA
"2017","Norte","AC","1200435",NA,NA
"2017","Norte","AC","1200435",2593.165,2680.575
"2017","Norte","AC","1200435",NA,NA
"2017","Norte","AC","1200450",2274.664,3557.161
"2017","Norte","AC","1200450",2330.827,3714.881
"2017","Norte","AC","1200450",1955.774,2763.289
"2017","Norte","AC","1200500",1824.423,1658.567
"2017","Norte","AC","1200500",2036.451,1851.319
"2017","Norte","AC","1200500",1409.413,1281.285
"2017","Norte","AC","1200609",2455.412,2232.193
"2017","Norte","AC","1200609",2878.231,2616.574
"2017","Norte","AC","1200609",1780.896,1618.997
"2017","Norte","AC","1200708",NA,NA
"2017","Norte","AC","1200708",2373.738,2373.738
"2017","Norte","AC","1200708",NA,NA
"2017","Norte","AC","1200807",1938.724,2633.765
"2017","Norte","AC","1200807",2011.369,2494.796
"2017","Norte","AC","1200807",NA,NA
"2017","Norte","AM","1300029",1737.547,1737.547
"2017","Norte","AM","1300029",1865.872,1865.872
"2017","Norte","AM","1300029",1575.492,1575.492
"2017","Norte","AM","1300060",1502.017,2081.84
"2017","Norte","AM","1300060",1487.46,2092.364
"2017","Norte","AM","1300060",NA,NA
"2017","Norte","AM","1300086",1707.104,1757.69
"2017","Norte","AM","1300086",1767.228,1824.964
"2017","Norte","AM","1300086",1546.394,1579.793
"2017","Norte","AM","1300102",1744.466,2628.697
"2017","Norte","AM","1300102",1805.485,3074.33
"2017","Norte","AM","1300102",1615.497,1958.201
"2017","Norte","AM","1300144",1933.81,3723.768
"2017","Norte","AM","1300144",1944.105,3746.864
"2017","Norte","AM","1300144",1813.31,3456.397
"2017","Norte","AM","1300201",1872.172,3579.27
"2017","Norte","AM","1300201",1866.356,3374.712
"2017","Norte","AM","1300201",1874.309,3660.467
"2017","Norte","AM","1300300",1703.597,3091.216
"2017","Norte","AM","1300300",1914.762,3709.078
"2017","Norte","AM","1300300",1491.469,2544.558
"2017","Norte","AM","1300409",1682.248,3157.736
"2017","Norte","AM","1300409",1913.368,3550.08
"2017","Norte","AM","1300409",1476.459,2800.593
"2017","Norte","AM","1300508",NA,NA
"2017","Norte","AM","1300508",1997.962,1997.962
"2017","Norte","AM","1300508",NA,NA
"2017","Norte","AM","1300607",1854.355,3666.607
"2017","Norte","AM","1300607",1878.29,3695.784
"2017","Norte","AM","1300607",1799.023,3598.046
"2017","Norte","AM","1300631",1537.49,1672.599
"2017","Norte","AM","1300631",1755.088,2001.442
"2017","Norte","AM","1300631",1305.659,1353.997
"2017","Norte","AM","1300680",NA,NA
"2017","Norte","AM","1300680",NA,NA
"2017","Norte","AM","1300680",NA,NA
"2017","Norte","AM","1300706",1322.574,1326.529
"2017","Norte","AM","1300706",1377.09,1380.619
"2017","Norte","AM","1300706",1131.911,1136.993
"2017","Norte","AM","1300805",1626.108,3244.167
"2017","Norte","AM","1300805",1646.388,3292.776
"2017","Norte","AM","1300805",1607.137,3198.911
"2017","Norte","AM","1300839",1266.768,1630.984
"2017","Norte","AM","1300839",1320.11,1608.144
"2017","Norte","AM","1300839",1159.077,1686.047
"2017","Norte","AM","1300904",NA,NA
"2017","Norte","AM","1300904",NA,NA
"2017","Norte","AM","1300904",NA,NA
"2017","Norte","AM","1301001",1928.302,3776.189
"2017","Norte","AM","1301001",1954.609,3776.406
"2017","Norte","AM","1301001",1887.923,3775.845
"2017","Norte","AM","1301100",2339.024,4491.71
"2017","Norte","AM","1301100",2417.193,4634.957
"2017","Norte","AM","1301100",1777.792,3450.648
"2017","Norte","AM","1301159",1541.341,3039.312
"2017","Norte","AM","1301159",1519.528,3008.188
"2017","Norte","AM","1301159",1739.264,3310.857
"2017","Norte","AM","1301209",1711.494,1712.839
"2017","Norte","AM","1301209",1619.595,1618.473
"2017","Norte","AM","1301209",1811.137,1815.474
"2017","Norte","AM","1301308",1703.306,1703.306
"2017","Norte","AM","1301308",1801.667,1801.667
"2017","Norte","AM","1301308",1605,1605
"2017","Norte","AM","1301407",NA,NA
"2017","Norte","AM","1301407",1868.321,3014.79
"2017","Norte","AM","1301407",NA,NA
"2017","Norte","AM","1301506",2002.058,2660.444
"2017","Norte","AM","1301506",1992.254,2391.074
"2017","Norte","AM","1301506",2023.516,3513.279
"2017","Norte","AM","1301605",1394.945,1394.945
"2017","Norte","AM","1301605",1519.117,1519.117
"2017","Norte","AM","1301605",1267.554,1267.554
"2017","Norte","AM","1301654",1278.993,1278.993
"2017","Norte","AM","1301654",1278.859,1278.859
"2017","Norte","AM","1301654",1279.368,1279.368
"2017","Norte","AM","1301704",2247.745,3589.315
"2017","Norte","AM","1301704",2466.168,3741.136
"2017","Norte","AM","1301704",1542.65,2967.781
"2017","Norte","AM","1301803",NA,NA
"2017","Norte","AM","1301803",1522.725,1522.725
"2017","Norte","AM","1301803",NA,NA
"2017","Norte","AM","1301852",1926.435,3591.192
"2017","Norte","AM","1301852",2000.178,3772.579
"2017","Norte","AM","1301852",1527.541,2678.888
"2017","Norte","AM","1301902",1917.229,1922.917
"2017","Norte","AM","1301902",1951.469,1958.641
"2017","Norte","AM","1301902",1843.363,1846.022
"2017","Norte","AM","1301951",NA,NA
"2017","Norte","AM","1301951",1330.489,2660.978
"2017","Norte","AM","1301951",NA,NA
"2017","Norte","AM","1302009",1743.069,2270.415
"2017","Norte","AM","1302009",1759.529,2362.184
"2017","Norte","AM","1302009",1620.105,1726.306
"2017","Norte","AM","1302108",NA,NA
"2017","Norte","AM","1302108",1504.783,2900.814
"2017","Norte","AM","1302108",NA,NA
"2017","Norte","AM","1302207",NA,NA
"2017","Norte","AM","1302207",NA,NA
"2017","Norte","AM","1302207",NA,NA
"2017","Norte","AM","1302306",NA,NA
"2017","Norte","AM","1302306",NA,NA
"2017","Norte","AM","1302306",NA,NA
"2017","Norte","AM","1302405",1375.027,1853.95
"2017","Norte","AM","1302405",1474.982,1716.489
"2017","Norte","AM","1302405",1302.422,1984.696
"2017","Norte","AM","1302504",2939.937,4076.486
"2017","Norte","AM","1302504",3126.963,4601.094
"2017","Norte","AM","1302504",1562.461,1520.726
"2017","Norte","AM","1302553",1843.933,2849.135
"2017","Norte","AM","1302553",1868.568,2879.04
"2017","Norte","AM","1302553",1739.645,2720.637
"2017","Norte","AM","1302603",3193.733,4257.942
"2017","Norte","AM","1302603",3186.039,4247.673
"2017","Norte","AM","1302603",3450.289,4600.386
"2017","Norte","AM","1302702",NA,NA
"2017","Norte","AM","1302702",2455.552,3079.843
"2017","Norte","AM","1302702",NA,NA
"2017","Norte","AM","1302801",NA,NA
"2017","Norte","AM","1302801",1630.533,1779.295
"2017","Norte","AM","1302801",NA,NA
"2017","Norte","AM","1302900",1684.826,2002.606
"2017","Norte","AM","1302900",1823.972,2695.563
"2017","Norte","AM","1302900",1573.417,1616.822
"2017","Norte","AM","1303007",1543.328,1996.507
"2017","Norte","AM","1303007",1723.83,2583.519
"2017","Norte","AM","1303007",1191.845,1217.436
"2017","Norte","AM","1303106",1376.203,2059.41
"2017","Norte","AM","1303106",1527.56,2021.038
"2017","Norte","AM","1303106",1235.822,2105.233
"2017","Norte","AM","1303205",1553.751,2211.192
"2017","Norte","AM","1303205",1784.103,2233.528
"2017","Norte","AM","1303205",1236.76,2168.15
"2017","Norte","AM","1303304",1474.601,2930.92
"2017","Norte","AM","1303304",1549.829,3099.658
"2017","Norte","AM","1303304",1365.068,2688.943
"2017","Norte","AM","1303403",1915.677,1915.677
"2017","Norte","AM","1303403",1953.706,1953.706
"2017","Norte","AM","1303403",1590.849,1590.849
"2017","Norte","AM","1303502",2312.081,3851.511
"2017","Norte","AM","1303502",2402.467,4609.358
"2017","Norte","AM","1303502",NA,NA
"2017","Norte","AM","1303536",2599.858,3564.573
"2017","Norte","AM","1303536",2634.48,3627.746
"2017","Norte","AM","1303536",2342.957,3112.368
"2017","Norte","AM","1303569",NA,NA
"2017","Norte","AM","1303569",NA,NA
"2017","Norte","AM","1303569",NA,NA
"2017","Norte","AM","1303601",1449.84,1451.282
"2017","Norte","AM","1303601",1451.948,1454.695
"2017","Norte","AM","1303601",1447.496,1447.496
"2017","Norte","AM","1303700",NA,NA
"2017","Norte","AM","1303700",1801.828,3569.707
"2017","Norte","AM","1303700",NA,NA
"2017","Norte","AM","1303809",1734.259,3451.872
"2017","Norte","AM","1303809",1738.792,3467.508
"2017","Norte","AM","1303809",1731.213,3441.397
"2017","Norte","AM","1303908",2021.605,2273.941
"2017","Norte","AM","1303908",2281.513,2645.112
"2017","Norte","AM","1303908",1934.123,2153.935
"2017","Norte","AM","1303957",1528.298,1576.56
"2017","Norte","AM","1303957",1526.311,1582.38
"2017","Norte","AM","1303957",1540.914,1540.914
"2017","Norte","AM","1304005",1860.52,1842.721
"2017","Norte","AM","1304005",1871.304,1867.908
"2017","Norte","AM","1304005",1784.559,1675.819
"2017","Norte","AM","1304062",NA,NA
"2017","Norte","AM","1304062",NA,NA
"2017","Norte","AM","1304062",1764.764,3368.555
"2017","Norte","AM","1304104",NA,NA
"2017","Norte","AM","1304104",1928.703,1753.367
"2017","Norte","AM","1304104",NA,NA
"2017","Norte","AM","1304203",1860.358,3696.265
"2017","Norte","AM","1304203",1877.339,3726.355
"2017","Norte","AM","1304203",1813.936,3613.705
"2017","Norte","AM","1304237",1413.238,3367.002
"2017","Norte","AM","1304237",1544.296,3787.675
"2017","Norte","AM","1304237",1329.534,3110.707
"2017","Norte","AM","1304260",1141.375,2253.153
"2017","Norte","AM","1304260",1351.152,2694.108
"2017","Norte","AM","1304260",974.8779,1909.378
"2017","Norte","AM","1304302",NA,NA
"2017","Norte","AM","1304302",NA,NA
"2017","Norte","AM","1304302",NA,NA
"2017","Norte","AM","1304401",2123.806,2097.509
"2017","Norte","AM","1304401",2234.803,2174.399
"2017","Norte","AM","1304401",1755.466,1824.892
"2017","Norte","RR","1400027",1938.01,1938.01
"2017","Norte","RR","1400027",1998.829,1998.829
"2017","Norte","RR","1400027",1904.921,1904.921
"2017","Norte","RR","1400050",2154.815,2873.086
"2017","Norte","RR","1400050",2442.825,3257.1
"2017","Norte","RR","1400050",1938.703,2584.937
"2017","Norte","RR","1400100",2853.447,4410.498
"2017","Norte","RR","1400100",2914.026,4559.646
"2017","Norte","RR","1400100",2449.947,3502.773
"2017","Norte","RR","1400159",2327.101,2200.22
"2017","Norte","RR","1400159",2302.995,2196.775
"2017","Norte","RR","1400159",2377.66,2207.252
"2017","Norte","RR","1400175",2373.798,2860.824
"2017","Norte","RR","1400175",2427.954,2944.743
"2017","Norte","RR","1400175",2261.054,2689.484
"2017","Norte","RR","1400209",2774.886,2565.382
"2017","Norte","RR","1400209",2744.518,2542.2
"2017","Norte","RR","1400209",2840.102,2614.868
"2017","Norte","RR","1400233",1985.802,1805.275
"2017","Norte","RR","1400233",2012.946,1829.951
"2017","Norte","RR","1400233",1626.524,1478.658
"2017","Norte","RR","1400282",2105.533,2105.533
"2017","Norte","RR","1400282",2111.639,2111.639
"2017","Norte","RR","1400282",2090.688,2090.688
"2017","Norte","RR","1400308",2527.779,3094.423
"2017","Norte","RR","1400308",2602.452,3190.968
